naslov,opis,cena,tip,uporabnik_id,kategorija_id
Avtomobilčki,Prodam zaradi menjave.,324.0,prodaja,390,7
Električno kolo,"Ugodna cena, možen dogovor.",1157.96,prodaja,448,3
Kolesarska čelada,Sprejemam tudi brez embalaže.,,nakup,151,4
Družabna igra,Prosim kontaktirajte z emailom.,1308.58,nakup,1458,7
Tiskalnik,"Brez poškodb, deluje perfektno.",656.15,prodaja,927,1
Tiskalnik,"Znižana cena, hitro!",398.94,prodaja,1498,1
Cestno kolo,Zanimajo me različne ponudbe.,52.7,nakup,294,4
Kombi,Prodam ker ne potrebujem več.,1022.85,prodaja,1945,3
Smuči,Iščem v dobrem stanju.,1292.49,nakup,839,4
Roman,Zelo dobro ohranjeno.,1183.13,prodaja,1180,6
Roman,Iščem za darilo.,1098.14,nakup,1609,6
Tablica,"Original embalaža, polna oprema.",1849.69,prodaja,153,1
Atlas,"Znižana cena, hitro!",1271.22,prodaja,1438,6
Zavese,"Odlično ohranjeno, malo uporabljeno.",,prodaja,589,5
Škarje za živo mejo,Prodam zaradi menjave.,1538.66,prodaja,849,9
Učbenik,Iščem ugodne ponudbe.,1084.17,nakup,401,6
Cestno kolo,Prodam zaradi menjave.,878.98,prodaja,881,4
Fotoaparat,"Ugodna cena, možen dogovor.",1970.67,prodaja,1238,1
Grablje,"Malo vidne obrabe, sicer ok.",1294.72,prodaja,343,9
Krožna žaga,Primerno za vsakdanjo uporabo.,1101.56,nakup,1709,9
Šotor,Iščem ugodne ponudbe.,640.55,nakup,1268,4
Kamp prikolica,"Rabljeno, deluje brezhibno.",1167.76,prodaja,814,3
Stripovski album,Iščem za darilo.,1319.7,nakup,1919,6
Bas kitara,"V dobrem stanju, brez napak.",450.43,prodaja,957,8
Električno kolo,Prodam zaradi menjave.,217.81,prodaja,1059,3
Planinski nahrbtnik,Prosim kontaktirajte z emailom.,968.26,nakup,874,4
Slovar,Zelo dobro ohranjeno.,1027.68,prodaja,1322,6
Puzzle,"Znižana cena, hitro!",1638.82,prodaja,708,7
Sončna očala,Sprejemam tudi brez embalaže.,,nakup,167,2
Zavese,Kontaktirajte me po emailu.,,nakup,1741,5
Fotoaparat,"Ugodna cena, možen dogovor.",1481.18,prodaja,1500,1
Učbenik,Zanimajo me različne ponudbe.,344.95,nakup,1660,6
Projektor,Prodam zaradi menjave.,773.49,prodaja,1430,1
Šal,"Kupljeno lani, skoraj novo.",,prodaja,732,2
Varilni aparat,Zanimajo me različne ponudbe.,,nakup,400,9
Skejtbord,"Ugodna cena, možen dogovor.",945.94,prodaja,1085,4
Telefon,"Ugodna cena, možen dogovor.",1447.33,prodaja,67,1
Grablje,"Kupljeno lani, skoraj novo.",738.64,prodaja,1695,9
Krilo,Prodam ker ne potrebujem več.,,prodaja,169,2
Enciklopedija,Sprejemam tudi malo rabljenega.,,nakup,655,6
Varilni aparat,"Rabljeno, deluje brezhibno.",208.05,prodaja,939,9
Televizor,Iščem za darilo.,1270.9,nakup,1282,1
Telefon,Zanimajo me različne ponudbe.,251.79,nakup,927,1
Telefon,"Malo vidne obrabe, sicer ok.",1087.11,prodaja,1954,1
Zimski škornji,"Brez poškodb, deluje perfektno.",1526.87,prodaja,216,2
Sesalec,Zelo dobro ohranjeno.,1100.11,prodaja,1591,5
Grablje,Zelo dobro ohranjeno.,1909.0,prodaja,1948,9
Spletna kamera,"Rabljeno, deluje brezhibno.",1500.09,prodaja,1966,1
Krožna žaga,Zelo dobro ohranjeno.,,prodaja,558,9
Kolesarska čelada,Primerno za vsakdanjo uporabo.,693.82,nakup,1885,4
Stojalo za noto,"Kupljeno lani, skoraj novo.",1241.15,prodaja,1229,8
Mešalnik za beton,Iščem v dobrem stanju.,432.85,nakup,102,9
Vinilne plošče,Primerno za vsakdanjo uporabo.,1176.02,nakup,1772,8
Tepih,Sprejemam tudi brez embalaže.,716.85,nakup,1152,5
Ura,"Rabljeno, deluje brezhibno.",725.77,prodaja,1549,2
Teniški lopar,"Kupljeno lani, skoraj novo.",268.32,prodaja,1834,4
Majica,Prodam zaradi menjave.,775.73,prodaja,653,2
Lego kocke,"Kupljeno lani, skoraj novo.",880.21,prodaja,947,7
Krilo,Kontaktirajte me po emailu.,667.68,nakup,123,2
Kamp prikolica,"Brez poškodb, deluje perfektno.",,prodaja,103,3
Bobni,"Malo vidne obrabe, sicer ok.",1278.11,prodaja,275,8
Pralni stroj,"Brez poškodb, deluje perfektno.",172.38,prodaja,1123,5
Zamrzovalnik,"Ugodna cena, možen dogovor.",385.73,prodaja,1224,5
Obleka,"V dobrem stanju, brez napak.",12.13,prodaja,1652,2
Barbika,"Kupljeno lani, skoraj novo.",1569.3,prodaja,1698,7
Klaviature,"Original embalaža, polna oprema.",467.95,prodaja,1456,8
Kompresor,Iščem za darilo.,,nakup,322,9
Zamrzovalnik,Iščem za darilo.,249.66,nakup,1122,5
Stripovski album,Prodam ker ne potrebujem več.,1175.18,prodaja,1049,6
Vrtalnik,Prodam ker ne potrebujem več.,1250.5,prodaja,1480,9
Skuterček,"Kupljeno lani, skoraj novo.",296.6,prodaja,920,3
Vrtalnik,Sprejemam tudi brez embalaže.,50.26,nakup,454,9
Vlakec,"Odlično ohranjeno, malo uporabljeno.",,prodaja,770,7
Zimska jakna,Prodam ker ne potrebujem več.,,prodaja,304,2
Tekaški copati,Iščem ugodne ponudbe.,,nakup,243,4
Vrtalnik,"Malo vidne obrabe, sicer ok.",1776.54,prodaja,276,9
Harmonika,Iščem za darilo.,342.36,nakup,1946,8
Vrtna garnitura,Prodam zaradi menjave.,796.09,prodaja,1693,5
Obleka,Zanimajo me različne ponudbe.,242.34,nakup,877,2
Avto,Kontaktirajte me po emailu.,1481.5,nakup,1096,3
Stripovski album,Primerno za vsakdanjo uporabo.,234.84,nakup,1829,6
Brivnik,Prosim kontaktirajte z emailom.,526.5,nakup,1194,1
Saksofon,Zanimajo me različne ponudbe.,,nakup,322,8
Zamrzovalnik,Prodam ker ne potrebujem več.,698.78,prodaja,160,5
Harmonika,"Ugodna cena, možen dogovor.",841.52,prodaja,751,8
Flavta,"Znižana cena, hitro!",1766.3,prodaja,1542,8
Žoga,"V dobrem stanju, brez napak.",1871.71,prodaja,1424,4
Police,Prodam zaradi menjave.,,prodaja,1216,5
Kapa in rokavice,"Odlično ohranjeno, malo uporabljeno.",1126.51,prodaja,1556,2
Kapa in rokavice,"V dobrem stanju, brez napak.",1841.93,prodaja,387,2
Figurice,"Malo vidne obrabe, sicer ok.",1218.95,prodaja,1244,7
Grablje,"Znižana cena, hitro!",1947.68,prodaja,968,9
Krilo,"Odlično ohranjeno, malo uporabljeno.",1733.04,prodaja,90,2
Svetilka,"Odlično ohranjeno, malo uporabljeno.",748.16,prodaja,392,5
Flavta,Iščem ugodne ponudbe.,1022.06,nakup,538,8
Kavč,Iščem za darilo.,,nakup,572,5
Veslač,Prodam zaradi menjave.,799.88,prodaja,1912,4
Spletna kamera,"Znižana cena, hitro!",635.37,prodaja,1909,1
Harmonika,"Rabljeno, deluje brezhibno.",63.31,prodaja,1396,8
Quad,Iščem v dobrem stanju.,968.39,nakup,1506,3
Družabna igra,"Kupljeno lani, skoraj novo.",903.89,prodaja,159,7
Planinski nahrbtnik,"Kupljeno lani, skoraj novo.",700.62,prodaja,1387,4
Harmonika,Sprejemam tudi brez embalaže.,1065.92,nakup,1155,8
Grablje,"Znižana cena, hitro!",1688.92,prodaja,403,9
Traktor,Iščem ugodne ponudbe.,124.21,nakup,1719,3
Slovar,"Brez poškodb, deluje perfektno.",1070.14,prodaja,407,6
Pulover,"Znižana cena, hitro!",201.58,prodaja,64,2
Mikrofon,"Original embalaža, polna oprema.",907.4,prodaja,45,8
Mikrofon,Iščem ugodne ponudbe.,719.1,nakup,1775,8
Puzzle,"Ugodna cena, možen dogovor.",1940.5,prodaja,1572,7
Plišasta igrača,Prodam zaradi menjave.,993.43,prodaja,257,7
Kavbojke,"Znižana cena, hitro!",405.09,prodaja,1281,2
Kuharica,"Odlično ohranjeno, malo uporabljeno.",1468.52,prodaja,1560,6
Denarnica,Sprejemam tudi malo rabljenega.,1236.07,nakup,555,2
